Timestamp(ns),IMG_num, Position_X(m),Position_Y(m),Position_Z(m),qx,qy,qz,qw, Rotation_X(rad),Rotation_Y(rad),Rotation_Z(rad)
3.28576E+12,400,-1.17,0.014,-2.29,-0.13,0.19,0.02,0.97,-0.26,0.38,0.04
3.28579E+12,401,-1.177,0.016,-2.299,-0.13,0.19,0.02,0.97,-0.25,0.38,0.04
3.28581E+12,402,-1.191,0.018,-2.315,-0.13,0.19,0.02,0.97,-0.25,0.38,0.04
3.28584E+12,403,-1.199,0.019,-2.323,-0.12,0.19,0.02,0.97,-0.25,0.38,0.04
3.28586E+12,404,-1.206,0.021,-2.332,-0.12,0.19,0.02,0.97,-0.25,0.38,0.04
3.28588E+12,405,-1.22,0.023,-2.348,-0.12,0.19,0.02,0.97,-0.25,0.39,0.04
3.28591E+12,406,-1.228,0.025,-2.358,-0.12,0.19,0.02,0.97,-0.25,0.39,0.04
3.28593E+12,407,-1.235,0.026,-2.366,-0.12,0.19,0.02,0.97,-0.25,0.39,0.04
3.28594E+12,408,-1.248,0.029,-2.384,-0.12,0.2,0.02,0.97,-0.25,0.4,0.04
3.28598E+12,409,-1.254,0.031,-2.393,-0.12,0.2,0.02,0.97,-0.24,0.4,0.04
3.28599E+12,410,-1.261,0.032,-2.402,-0.12,0.2,0.02,0.97,-0.24,0.4,0.04
3.28601E+12,411,-1.267,0.034,-2.411,-0.12,0.2,0.02,0.97,-0.24,0.4,0.04
3.28603E+12,412,-1.279,0.036,-2.43,-0.12,0.2,0.02,0.97,-0.24,0.4,0.04
3.28606E+12,413,-1.286,0.037,-2.439,-0.12,0.2,0.02,0.97,-0.24,0.41,0.04
3.28608E+12,414,-1.292,0.039,-2.448,-0.12,0.2,0.02,0.97,-0.24,0.41,0.04
3.2861E+12,415,-1.304,0.042,-2.466,-0.12,0.2,0.02,0.97,-0.24,0.41,0.04
3.28613E+12,416,-1.31,0.044,-2.476,-0.12,0.2,0.02,0.97,-0.24,0.41,0.04
3.28615E+12,417,-1.321,0.047,-2.494,-0.12,0.2,0.02,0.97,-0.23,0.41,0.04
3.28618E+12,418,-1.332,0.049,-2.512,-0.11,0.21,0.02,0.97,-0.23,0.42,0.04
3.28621E+12,419,-1.338,0.051,-2.522,-0.11,0.21,0.02,0.97,-0.23,0.42,0.04
3.28623E+12,420,-1.343,0.053,-2.531,-0.11,0.21,0.02,0.97,-0.23,0.42,0.04
3.28624E+12,421,-1.353,0.056,-2.548,-0.11,0.21,0.02,0.97,-0.23,0.42,0.04
3.28628E+12,422,-1.358,0.057,-2.557,-0.11,0.21,0.02,0.97,-0.23,0.42,0.04
3.28629E+12,423,-1.368,0.06,-2.575,-0.11,0.21,0.02,0.97,-0.23,0.42,0.04
3.28633E+12,424,-1.372,0.061,-2.584,-0.11,0.21,0.02,0.97,-0.22,0.42,0.03
3.28634E+12,425,-1.381,0.063,-2.6,-0.11,0.21,0.02,0.97,-0.22,0.42,0.03
3.28638E+12,426,-1.386,0.065,-2.609,-0.11,0.21,0.02,0.97,-0.22,0.42,0.03
3.28639E+12,427,-1.394,0.067,-2.625,-0.11,0.21,0.02,0.97,-0.22,0.42,0.03
3.28643E+12,428,-1.398,0.068,-2.634,-0.11,0.21,0.02,0.97,-0.22,0.42,0.03
3.28644E+12,429,-1.406,0.07,-2.649,-0.11,0.21,0.02,0.97,-0.22,0.42,0.03
3.28648E+12,430,-1.41,0.072,-2.657,-0.11,0.21,0.02,0.97,-0.22,0.42,0.03
3.28649E+12,431,-1.418,0.074,-2.672,-0.11,0.21,0.02,0.97,-0.22,0.43,0.03
3.28653E+12,432,-1.422,0.075,-2.679,-0.11,0.21,0.02,0.97,-0.22,0.43,0.03
3.28655E+12,433,-1.428,0.076,-2.693,-0.11,0.21,0.02,0.97,-0.21,0.43,0.03
3.28658E+12,434,-1.432,0.078,-2.701,-0.11,0.21,0.02,0.97,-0.21,0.43,0.03
3.2866E+12,435,-1.439,0.08,-2.714,-0.11,0.21,0.02,0.97,-0.21,0.43,0.03
3.28663E+12,436,-1.446,0.081,-2.727,-0.1,0.21,0.02,0.97,-0.21,0.43,0.03
3.28666E+12,437,-1.449,0.082,-2.734,-0.1,0.21,0.02,0.97,-0.21,0.43,0.03
3.28668E+12,438,-1.456,0.084,-2.748,-0.1,0.21,0.02,0.97,-0.21,0.43,0.03
3.28671E+12,439,-1.46,0.086,-2.756,-0.1,0.21,0.02,0.97,-0.21,0.43,0.03
3.28673E+12,440,-1.467,0.087,-2.77,-0.1,0.21,0.01,0.97,-0.21,0.43,0.03
3.28676E+12,441,-1.471,0.088,-2.777,-0.1,0.21,0.01,0.97,-0.21,0.43,0.03
3.28678E+12,442,-1.474,0.089,-2.785,-0.1,0.21,0.01,0.97,-0.21,0.43,0.03
3.28679E+12,443,-1.478,0.09,-2.792,-0.1,0.21,0.01,0.97,-0.21,0.43,0.03
3.28681E+12,444,-1.486,0.093,-2.807,-0.1,0.21,0.01,0.97,-0.2,0.43,0.03
3.28684E+12,445,-1.49,0.094,-2.815,-0.1,0.21,0.01,0.97,-0.2,0.43,0.03
3.28686E+12,446,-1.493,0.095,-2.822,-0.1,0.21,0.01,0.97,-0.2,0.43,0.03
3.28688E+12,447,-1.501,0.097,-2.838,-0.1,0.21,0.01,0.97,-0.2,0.43,0.03
3.28691E+12,448,-1.505,0.099,-2.846,-0.1,0.21,0.01,0.97,-0.2,0.43,0.03
3.28693E+12,449,-1.513,0.101,-2.863,-0.1,0.22,0.01,0.97,-0.2,0.43,0.03
3.28696E+12,450,-1.517,0.102,-2.871,-0.1,0.22,0.01,0.97,-0.2,0.44,0.03
